shipment_id,order_id,carrier,allocated_cost,allocation_pct
SHIP-000001,ORD-000001,UPS,5.39,0.0958
SHIP-000001,ORD-000055,UPS,50.81,0.9042
SHIP-000002,ORD-000002,DHL,19.29,1.0
SHIP-000003,ORD-000003,DHL,66.1,0.4112
SHIP-000003,ORD-000070,DHL,94.63,0.5888
SHIP-000004,ORD-000004,UPS,13.91,0.3613
SHIP-000004,ORD-000139,UPS,24.6,0.6387
SHIP-000005,ORD-000005,UPS,48.61,0.3643
SHIP-000005,ORD-000150,UPS,84.8,0.6357
SHIP-000006,ORD-000006,USPS,39.83,0.4816
SHIP-000006,ORD-000193,USPS,42.88,0.5184
SHIP-000007,ORD-000007,DHL,36.74,0.3495
SHIP-000007,ORD-000247,DHL,68.37,0.6505
SHIP-000008,ORD-000008,UPS,98.59,0.5895
SHIP-000008,ORD-000267,UPS,68.64,0.4105
SHIP-000009,ORD-000009,Amazon Logistics,16.02,0.313
SHIP-000009,ORD-000272,Amazon Logistics,35.17,0.687
SHIP-000010,ORD-000010,USPS,114.64,0.7618
SHIP-000010,ORD-000302,USPS,35.84,0.2382
SHIP-000011,ORD-000011,DHL,82.06,1.0
SHIP-000012,ORD-000012,UPS,122.46,0.9912
SHIP-000012,ORD-000316,UPS,1.09,0.0088
SHIP-000013,ORD-000013,Amazon Logistics,52.14,0.3776
SHIP-000013,ORD-000327,Amazon Logistics,85.93,0.6224
SHIP-000014,ORD-000014,Amazon Logistics,53.31,0.5055
SHIP-000014,ORD-000334,Amazon Logistics,52.16,0.4945
SHIP-000015,ORD-000015,Amazon Logistics,53.18,0.9077
SHIP-000015,ORD-000370,Amazon Logistics,5.41,0.0923
SHIP-000016,ORD-000016,USPS,25.32,0.3634
SHIP-000016,ORD-000391,USPS,44.37,0.6366
SHIP-000017,ORD-000017,USPS,65.87,0.5404
SHIP-000017,ORD-000420,USPS,56.03,0.4596
SHIP-000018,ORD-000018,DHL,71.38,0.5887
SHIP-000018,ORD-000435,DHL,49.87,0.4113
SHIP-000019,ORD-000019,USPS,26.89,0.3566
SHIP-000019,ORD-000599,USPS,48.51,0.6434
SHIP-000020,ORD-000020,UPS,7.79,0.138
SHIP-000020,ORD-000672,UPS,48.63,0.862
SHIP-000021,ORD-000021,Amazon Logistics,13.17,0.2964
SHIP-000021,ORD-000678,Amazon Logistics,31.26,0.7036
SHIP-000022,ORD-000022,USPS,96.39,0.6827
SHIP-000022,ORD-000703,USPS,44.79,0.3173
SHIP-000023,ORD-000023,FedEx,28.14,0.2128
SHIP-000023,ORD-000718,FedEx,104.07,0.7872
SHIP-000024,ORD-000024,Amazon Logistics,23.92,0.8453
SHIP-000024,ORD-000741,Amazon Logistics,4.38,0.1547
SHIP-000025,ORD-000025,UPS,60.44,1.0
SHIP-000026,ORD-000026,USPS,117.42,0.6321
SHIP-000026,ORD-000747,USPS,68.35,0.3679
SHIP-000027,ORD-000027,Amazon Logistics,22.42,0.4818
SHIP-000027,ORD-000753,Amazon Logistics,24.11,0.5182
SHIP-000028,ORD-000028,USPS,34.9,1.0
SHIP-000029,ORD-000029,UPS,10.8,1.0
SHIP-000030,ORD-000030,Amazon Logistics,22.23,0.4636
SHIP-000030,ORD-000755,Amazon Logistics,25.72,0.5364
SHIP-000031,ORD-000031,FedEx,116.31,0.9099
SHIP-000031,ORD-000813,FedEx,11.51,0.0901
SHIP-000032,ORD-000032,Amazon Logistics,32.0,0.1049
SHIP-000032,ORD-000819,Amazon Logistics,273.0,0.8951
SHIP-000033,ORD-000033,USPS,60.63,0.8581
SHIP-000033,ORD-000853,USPS,10.03,0.1419
SHIP-000034,ORD-000034,DHL,21.65,0.3947
SHIP-000034,ORD-000877,DHL,33.2,0.6053
SHIP-000035,ORD-000035,Amazon Logistics,23.47,0.9593
SHIP-000035,ORD-000890,Amazon Logistics,0.99,0.0407
SHIP-000036,ORD-000036,FedEx,175.33,0.9609
SHIP-000036,ORD-000910,FedEx,7.14,0.0391
SHIP-000037,ORD-000037,Amazon Logistics,77.66,0.7328
SHIP-000037,ORD-000914,Amazon Logistics,28.32,0.2672
SHIP-000038,ORD-000038,DHL,100.15,0.4392
SHIP-000038,ORD-000961,DHL,127.89,0.5608
SHIP-000039,ORD-000039,Amazon Logistics,93.78,0.5823
SHIP-000039,ORD-000963,Amazon Logistics,67.28,0.4177
SHIP-000040,ORD-000040,FedEx,16.59,0.0786
SHIP-000040,ORD-001005,FedEx,194.46,0.9214
SHIP-000041,ORD-000041,Amazon Logistics,63.84,0.539
SHIP-000041,ORD-001014,Amazon Logistics,54.6,0.461
SHIP-000042,ORD-000042,Amazon Logistics,48.58,0.7927
SHIP-000042,ORD-001038,Amazon Logistics,12.7,0.2073
SHIP-000043,ORD-000043,FedEx,18.5,0.6527
SHIP-000043,ORD-001042,FedEx,9.84,0.3473
SHIP-000044,ORD-000044,DHL,201.0,0.7625
SHIP-000044,ORD-001157,DHL,62.62,0.2375
SHIP-000045,ORD-000045,DHL,124.25,0.6758
SHIP-000045,ORD-001197,DHL,59.6,0.3242
SHIP-000046,ORD-000046,Amazon Logistics,29.4,1.0
SHIP-000047,ORD-000047,USPS,49.96,0.4659
SHIP-000047,ORD-001212,USPS,57.27,0.5341
SHIP-000048,ORD-000048,FedEx,140.1,1.0
SHIP-000049,ORD-000049,Amazon Logistics,6.18,0.0812
SHIP-000049,ORD-001237,Amazon Logistics,69.97,0.9188
SHIP-000050,ORD-000050,DHL,137.38,0.3781
SHIP-000050,ORD-001299,DHL,225.95,0.6219
SHIP-000051,ORD-000051,UPS,110.36,0.414
SHIP-000051,ORD-001301,UPS,156.23,0.586
SHIP-000052,ORD-000052,UPS,97.68,0.7664
SHIP-000052,ORD-001341,UPS,29.77,0.2336
SHIP-000053,ORD-000053,FedEx,75.15,0.324
SHIP-000053,ORD-001377,FedEx,156.76,0.676
SHIP-000054,ORD-000054,DHL,33.99,0.1856
SHIP-000054,ORD-001397,DHL,149.13,0.8144
SHIP-000055,ORD-000056,DHL,27.57,0.3678
SHIP-000055,ORD-001459,DHL,47.38,0.6322
SHIP-000056,ORD-000057,Amazon Logistics,1.57,0.0765
SHIP-000056,ORD-001570,Amazon Logistics,18.97,0.9235
SHIP-000057,ORD-000058,FedEx,107.97,0.8154
SHIP-000057,ORD-001572,FedEx,24.45,0.1846
SHIP-000058,ORD-000059,Amazon Logistics,15.45,0.3833
SHIP-000058,ORD-001640,Amazon Logistics,24.86,0.6167
SHIP-000059,ORD-000060,UPS,144.15,0.5875
SHIP-000059,ORD-001657,UPS,101.23,0.4125
SHIP-000060,ORD-000061,FedEx,33.59,0.8189
SHIP-000060,ORD-001665,FedEx,7.43,0.1811
SHIP-000061,ORD-000062,DHL,135.51,0.647
SHIP-000061,ORD-001679,DHL,73.94,0.353
SHIP-000062,ORD-000063,UPS,14.82,0.292
