Date,department,gl_account,Scenario,amount
2023-01-01,Sales,Product Sales,Budget,113181.89
2023-01-01,Sales,Service Revenue,Budget,155471.62
2023-01-01,Sales,Shipping Revenue,Budget,43655.55
2023-01-01,Sales,Product Cost,Budget,90317.32
2023-01-01,Sales,Freight In,Budget,10506.26
2023-01-01,Sales,Packaging,Budget,56641.16
2023-01-01,Sales,Salaries,Budget,65922.47
2023-01-01,Sales,Marketing Spend,Budget,105423.21
2023-01-01,Sales,Software & SaaS,Budget,56211.11
2023-01-01,Sales,Office Rent,Budget,112068.7
2023-01-01,Sales,Travel & Entertainment,Budget,84090.53
2023-01-01,Sales,Professional Services,Budget,113594.03
2023-01-01,Sales,Utilities,Budget,118494.11
2023-01-01,Sales,Depreciation,Budget,101294.87
2023-01-01,Marketing,Product Cost,Budget,75027.77
2023-01-01,Marketing,Freight In,Budget,114378.19
2023-01-01,Marketing,Packaging,Budget,119214.53
2023-01-01,Marketing,Salaries,Budget,39869.61
2023-01-01,Marketing,Marketing Spend,Budget,28503.78
2023-01-01,Marketing,Software & SaaS,Budget,63900.25
2023-01-01,Marketing,Office Rent,Budget,82363.82
2023-01-01,Marketing,Travel & Entertainment,Budget,94173.66
2023-01-01,Marketing,Professional Services,Budget,53307.89
2023-01-01,Marketing,Utilities,Budget,39022.16
2023-01-01,Marketing,Depreciation,Budget,58889.48
2023-01-01,Operations,Product Cost,Budget,52351.2
2023-01-01,Operations,Freight In,Budget,74170.42
2023-01-01,Operations,Packaging,Budget,58688.06
2023-01-01,Operations,Salaries,Budget,48894.15
2023-01-01,Operations,Marketing Spend,Budget,91210.44
2023-01-01,Operations,Software & SaaS,Budget,58768.77
2023-01-01,Operations,Office Rent,Budget,45168.79
2023-01-01,Operations,Travel & Entertainment,Budget,80237.87
2023-01-01,Operations,Professional Services,Budget,95211.81
2023-01-01,Operations,Utilities,Budget,64467.05
2023-01-01,Operations,Depreciation,Budget,10611.61
2023-01-01,Finance,Product Cost,Budget,84714.87
2023-01-01,Finance,Freight In,Budget,77225.56
2023-01-01,Finance,Packaging,Budget,34968.97
2023-01-01,Finance,Salaries,Budget,46604.28
2023-01-01,Finance,Marketing Spend,Budget,58501.89
2023-01-01,Finance,Software & SaaS,Budget,40762.35
2023-01-01,Finance,Office Rent,Budget,13579.2
2023-01-01,Finance,Travel & Entertainment,Budget,67747.48
2023-01-01,Finance,Professional Services,Budget,68530.53
2023-01-01,Finance,Utilities,Budget,68704.57
2023-01-01,Finance,Depreciation,Budget,73838.05
2023-01-01,HR,Product Cost,Budget,76787.88
2023-01-01,HR,Freight In,Budget,76091.92
2023-01-01,HR,Packaging,Budget,91436.62
2023-01-01,HR,Salaries,Budget,111068.37
2023-01-01,HR,Marketing Spend,Budget,13209.31
2023-01-01,HR,Software & SaaS,Budget,32993.51
2023-01-01,HR,Office Rent,Budget,106302.09
2023-01-01,HR,Travel & Entertainment,Budget,10143.88
2023-01-01,HR,Professional Services,Budget,34026.57
2023-01-01,HR,Utilities,Budget,87717.63
2023-01-01,HR,Depreciation,Budget,44564.87
2023-01-01,IT,Product Cost,Budget,91190.4
2023-01-01,IT,Freight In,Budget,49706.06
2023-01-01,IT,Packaging,Budget,68625.93
2023-01-01,IT,Salaries,Budget,57506.94
2023-01-01,IT,Marketing Spend,Budget,42048.65
2023-01-01,IT,Software & SaaS,Budget,40924.59
2023-01-01,IT,Office Rent,Budget,86082.26
2023-01-01,IT,Travel & Entertainment,Budget,114930.86
2023-01-01,IT,Professional Services,Budget,57507.2
2023-01-01,IT,Utilities,Budget,34025.16
2023-01-01,IT,Depreciation,Budget,25013.96
2023-01-01,Customer Service,Product Cost,Budget,100445.97
2023-01-01,Customer Service,Freight In,Budget,62199.07
2023-01-01,Customer Service,Packaging,Budget,75409.88
2023-01-01,Customer Service,Salaries,Budget,87958.35
2023-01-01,Customer Service,Marketing Spend,Budget,41204.49
2023-01-01,Customer Service,Software & SaaS,Budget,15870.95
2023-01-01,Customer Service,Office Rent,Budget,29694.32
2023-01-01,Customer Service,Travel & Entertainment,Budget,14941.27
2023-01-01,Customer Service,Professional Services,Budget,22119.25
2023-01-01,Customer Service,Utilities,Budget,46068.77
2023-01-01,Customer Service,Depreciation,Budget,117442.85
2023-02-01,Sales,Product Sales,Budget,136537.23
2023-02-01,Sales,Service Revenue,Budget,101800.44
2023-02-01,Sales,Shipping Revenue,Budget,40343.56
2023-02-01,Sales,Product Cost,Budget,101797.95
2023-02-01,Sales,Freight In,Budget,38994.43
2023-02-01,Sales,Packaging,Budget,45357.53
2023-02-01,Sales,Salaries,Budget,50832.53
2023-02-01,Sales,Marketing Spend,Budget,62036.43
2023-02-01,Sales,Software & SaaS,Budget,104051.43
2023-02-01,Sales,Office Rent,Budget,98941.81
2023-02-01,Sales,Travel & Entertainment,Budget,93314.13
2023-02-01,Sales,Professional Services,Budget,30176.58
2023-02-01,Sales,Utilities,Budget,93657.9
2023-02-01,Sales,Depreciation,Budget,54383.64
2023-02-01,Marketing,Product Cost,Budget,46753.22
2023-02-01,Marketing,Freight In,Budget,16650.88
2023-02-01,Marketing,Packaging,Budget,103075.24
2023-02-01,Marketing,Salaries,Budget,84822.01
2023-02-01,Marketing,Marketing Spend,Budget,27591.26
2023-02-01,Marketing,Software & SaaS,Budget,107135.08
2023-02-01,Marketing,Office Rent,Budget,20433.81
2023-02-01,Marketing,Travel & Entertainment,Budget,22076.61
2023-02-01,Marketing,Professional Services,Budget,60789.28
2023-02-01,Marketing,Utilities,Budget,80906.86
2023-02-01,Marketing,Depreciation,Budget,42735.54
2023-02-01,Operations,Product Cost,Budget,86987.1
2023-02-01,Operations,Freight In,Budget,110014.94
2023-02-01,Operations,Packaging,Budget,55234.85
2023-02-01,Operations,Salaries,Budget,10987.97
2023-02-01,Operations,Marketing Spend,Budget,65552.67
2023-02-01,Operations,Software & SaaS,Budget,63820.67
2023-02-01,Operations,Office Rent,Budget,14935.71
2023-02-01,Operations,Travel & Entertainment,Budget,54490.87
2023-02-01,Operations,Professional Services,Budget,23101.61
2023-02-01,Operations,Utilities,Budget,57004.74
2023-02-01,Operations,Depreciation,Budget,13939.39
2023-02-01,Finance,Product Cost,Budget,32548.34
2023-02-01,Finance,Freight In,Budget,81003.61
2023-02-01,Finance,Packaging,Budget,90382.62
2023-02-01,Finance,Salaries,Budget,31590.55
2023-02-01,Finance,Marketing Spend,Budget,37973.57
2023-02-01,Finance,Software & SaaS,Budget,48639.61
2023-02-01,Finance,Office Rent,Budget,112266.62
2023-02-01,Finance,Travel & Entertainment,Budget,41322.31
2023-02-01,Finance,Professional Services,Budget,105477.44
2023-02-01,Finance,Utilities,Budget,78221.02
2023-02-01,Finance,Depreciation,Budget,66548.0
2023-02-01,HR,Product Cost,Budget,30805.64
2023-02-01,HR,Freight In,Budget,70948.91
2023-02-01,HR,Packaging,Budget,36934.39
2023-02-01,HR,Salaries,Budget,52895.64
2023-02-01,HR,Marketing Spend,Budget,37027.49
2023-02-01,HR,Software & SaaS,Budget,57082.49
2023-02-01,HR,Office Rent,Budget,45818.42
2023-02-01,HR,Travel & Entertainment,Budget,101149.26
2023-02-01,HR,Professional Services,Budget,119323.19
2023-02-01,HR,Utilities,Budget,70590.85
2023-02-01,HR,Depreciation,Budget,109110.01
2023-02-01,IT,Product Cost,Budget,74638.6
2023-02-01,IT,Freight In,Budget,119543.3
2023-02-01,IT,Packaging,Budget,13704.17
2023-02-01,IT,Salaries,Budget,50891.68
2023-02-01,IT,Marketing Spend,Budget,88457.05
2023-02-01,IT,Software & SaaS,Budget,56565.81
2023-02-01,IT,Office Rent,Budget,15949.36
2023-02-01,IT,Travel & Entertainment,Budget,27484.9
2023-02-01,IT,Professional Services,Budget,81387.1
2023-02-01,IT,Utilities,Budget,76775.69
2023-02-01,IT,Depreciation,Budget,78469.57
2023-02-01,Customer Service,Product Cost,Budget,34083.93
2023-02-01,Customer Service,Freight In,Budget,100477.3
2023-02-01,Customer Service,Packaging,Budget,37047.65
2023-02-01,Customer Service,Salaries,Budget,53950.56
2023-02-01,Customer Service,Marketing Spend,Budget,10353.88
2023-02-01,Customer Service,Software & SaaS,Budget,58418.36
2023-02-01,Customer Service,Office Rent,Budget,22907.34
2023-02-01,Customer Service,Travel & Entertainment,Budget,98560.37
2023-02-01,Customer Service,Professional Services,Budget,98474.16
2023-02-01,Customer Service,Utilities,Budget,32932.84
2023-02-01,Customer Service,Depreciation,Budget,22922.25
2023-03-01,Sales,Product Sales,Budget,96106.66
2023-03-01,Sales,Service Revenue,Budget,24643.11
2023-03-01,Sales,Shipping Revenue,Budget,55785.39
2023-03-01,Sales,Product Cost,Budget,24082.51
2023-03-01,Sales,Freight In,Budget,114210.78
2023-03-01,Sales,Packaging,Budget,14288.02
2023-03-01,Sales,Salaries,Budget,103975.58
2023-03-01,Sales,Marketing Spend,Budget,23894.67
2023-03-01,Sales,Software & SaaS,Budget,43105.21
2023-03-01,Sales,Office Rent,Budget,95993.84
2023-03-01,Sales,Travel & Entertainment,Budget,36126.52
2023-03-01,Sales,Professional Services,Budget,110049.78
2023-03-01,Sales,Utilities,Budget,68375.53
2023-03-01,Sales,Depreciation,Budget,33926.6
2023-03-01,Marketing,Product Cost,Budget,58781.15
2023-03-01,Marketing,Freight In,Budget,76000.34
2023-03-01,Marketing,Packaging,Budget,74560.41
2023-03-01,Marketing,Salaries,Budget,92331.61
2023-03-01,Marketing,Marketing Spend,Budget,88835.91
2023-03-01,Marketing,Software & SaaS,Budget,46015.91
2023-03-01,Marketing,Office Rent,Budget,21547.58
2023-03-01,Marketing,Travel & Entertainment,Budget,68936.25
2023-03-01,Marketing,Professional Services,Budget,104551.92
2023-03-01,Marketing,Utilities,Budget,66674.18
2023-03-01,Marketing,Depreciation,Budget,112497.74
2023-03-01,Operations,Product Cost,Budget,74556.97
2023-03-01,Operations,Freight In,Budget,20831.33
2023-03-01,Operations,Packaging,Budget,105790.5
2023-03-01,Operations,Salaries,Budget,61374.17
2023-03-01,Operations,Marketing Spend,Budget,68065.32
2023-03-01,Operations,Software & SaaS,Budget,89619.92
2023-03-01,Operations,Office Rent,Budget,47229.26
2023-03-01,Operations,Travel & Entertainment,Budget,15900.14
