year,month,department,gl_category,gl_account,amount
2023,1,Sales,Revenue,Product Sales,95428.6
2023,1,Sales,Revenue,Service Revenue,171666.68
2023,1,Sales,Revenue,Shipping Revenue,50804.95
2023,1,Sales,COGS,Product Cost,106802.17
2023,1,Sales,COGS,Freight In,12974.03
2023,1,Sales,COGS,Packaging,53987.48
2023,1,Sales,OpEx,Salaries,73143.42
2023,1,Sales,OpEx,Marketing Spend,116914.36
2023,1,Sales,OpEx,Software & SaaS,46558.34
2023,1,Sales,OpEx,Office Rent,116067.92
2023,1,Sales,OpEx,Travel & Entertainment,85219.63
2023,1,Sales,OpEx,Professional Services,116482.67
2023,1,Sales,OpEx,Utilities,120328.66
2023,1,Sales,OpEx,Depreciation,122991.69
2023,1,Marketing,COGS,Product Cost,88020.69
2023,1,Marketing,COGS,Freight In,138639.24
2023,1,Marketing,COGS,Packaging,117405.44
2023,1,Marketing,OpEx,Salaries,40797.89
2023,1,Marketing,OpEx,Marketing Spend,25378.17
2023,1,Marketing,OpEx,Software & SaaS,75264.63
2023,1,Marketing,OpEx,Office Rent,98693.22
2023,1,Marketing,OpEx,Travel & Entertainment,90198.83
2023,1,Marketing,OpEx,Professional Services,63561.39
2023,1,Marketing,OpEx,Utilities,37096.43
2023,1,Marketing,OpEx,Depreciation,66759.32
2023,1,Operations,COGS,Product Cost,47989.16
2023,1,Operations,COGS,Freight In,68183.75
2023,1,Operations,COGS,Packaging,49018.5
2023,1,Operations,OpEx,Salaries,52940.66
2023,1,Operations,OpEx,Marketing Spend,84258.77
2023,1,Operations,OpEx,Software & SaaS,53699.01
2023,1,Operations,OpEx,Office Rent,36868.37
2023,1,Operations,OpEx,Travel & Entertainment,73332.16
2023,1,Operations,OpEx,Professional Services,86509.63
2023,1,Operations,OpEx,Utilities,68994.71
2023,1,Operations,OpEx,Depreciation,11951.21
2023,1,Finance,COGS,Product Cost,96288.34
2023,1,Finance,COGS,Freight In,72720.94
2023,1,Finance,COGS,Packaging,37790.43
2023,1,Finance,OpEx,Salaries,37849.36
2023,1,Finance,OpEx,Marketing Spend,68250.28
2023,1,Finance,OpEx,Software & SaaS,48511.47
2023,1,Finance,OpEx,Office Rent,16777.47
2023,1,Finance,OpEx,Travel & Entertainment,65618.1
2023,1,Finance,OpEx,Professional Services,60952.75
2023,1,Finance,OpEx,Utilities,83559.24
2023,1,Finance,OpEx,Depreciation,65268.28
2023,1,HR,COGS,Product Cost,69988.59
2023,1,HR,COGS,Freight In,71246.75
2023,1,HR,COGS,Packaging,74914.45
2023,1,HR,OpEx,Salaries,129410.21
2023,1,HR,OpEx,Marketing Spend,11883.56
2023,1,HR,OpEx,Software & SaaS,40760.7
2023,1,HR,OpEx,Office Rent,89220.67
2023,1,HR,OpEx,Travel & Entertainment,12131.68
2023,1,HR,OpEx,Professional Services,39636.16
2023,1,HR,OpEx,Utilities,103269.44
2023,1,HR,OpEx,Depreciation,36572.17
2023,1,IT,COGS,Product Cost,78744.6
2023,1,IT,COGS,Freight In,44919.74
2023,1,IT,COGS,Packaging,74406.83
2023,1,IT,OpEx,Salaries,51235.29
2023,1,IT,OpEx,Marketing Spend,41104.9
2023,1,IT,OpEx,Software & SaaS,40604.09
2023,1,IT,OpEx,Office Rent,107517.77
2023,1,IT,OpEx,Travel & Entertainment,112326.88
2023,1,IT,OpEx,Professional Services,46972.12
2023,1,IT,OpEx,Utilities,40343.64
