entry_id,date,account_code,account_name,debit,credit,reference,description
JE-0000001,2023-01-01,4000,Product Sales,0.0,572.5,ORD-000001,Order revenue
JE-0000002,2023-01-01,5000,Cost of Goods Sold,384.7,0.0,ORD-000001,Order COGS
JE-0000003,2023-01-01,4100,Shipping Revenue,0.0,11.58,ORD-000001,Shipping charged to customer
JE-0000004,2023-01-01,2100,Sales Tax Payable,0.0,34.35,ORD-000001,Sales tax collected
JE-0000005,2023-01-01,4000,Product Sales,0.0,105.44,ORD-000002,Order revenue
JE-0000006,2023-01-01,5000,Cost of Goods Sold,42.4,0.0,ORD-000002,Order COGS
JE-0000007,2023-01-01,4100,Shipping Revenue,0.0,19.29,ORD-000002,Shipping charged to customer
JE-0000008,2023-01-01,2100,Sales Tax Payable,0.0,5.01,ORD-000002,Sales tax collected
JE-0000009,2023-01-01,4000,Product Sales,0.0,2319.66,ORD-000003,Order revenue
JE-0000010,2023-01-01,5000,Cost of Goods Sold,991.62,0.0,ORD-000003,Order COGS
JE-0000011,2023-01-01,4100,Shipping Revenue,0.0,74.98,ORD-000003,Shipping charged to customer
JE-0000012,2023-01-02,4000,Product Sales,0.0,2804.22,ORD-000004,Order revenue
JE-0000013,2023-01-02,5000,Cost of Goods Sold,1677.51,0.0,ORD-000004,Order COGS
JE-0000014,2023-01-02,4100,Shipping Revenue,0.0,17.37,ORD-000004,Shipping charged to customer
JE-0000015,2023-01-02,2100,Sales Tax Payable,0.0,82.96,ORD-000004,Sales tax collected
JE-0000016,2023-01-02,4000,Product Sales,0.0,2083.0,ORD-000005,Order revenue
JE-0000017,2023-01-02,5000,Cost of Goods Sold,981.58,0.0,ORD-000005,Order COGS
JE-0000018,2023-01-02,4100,Shipping Revenue,0.0,47.29,ORD-000005,Shipping charged to customer
JE-0000019,2023-01-02,2100,Sales Tax Payable,0.0,83.32,ORD-000005,Sales tax collected
JE-0000020,2023-01-05,4000,Product Sales,0.0,2489.89,ORD-000006,Order revenue
JE-0000021,2023-01-05,5000,Cost of Goods Sold,1161.3,0.0,ORD-000006,Order COGS
JE-0000022,2023-01-05,4100,Shipping Revenue,0.0,32.94,ORD-000006,Shipping charged to customer
JE-0000023,2023-01-05,2100,Sales Tax Payable,0.0,161.84,ORD-000006,Sales tax collected
JE-0000024,2023-01-05,4000,Product Sales,0.0,758.91,ORD-000007,Order revenue
JE-0000025,2023-01-05,5000,Cost of Goods Sold,486.85,0.0,ORD-000007,Order COGS
JE-0000026,2023-01-05,4100,Shipping Revenue,0.0,44.77,ORD-000007,Shipping charged to customer
JE-0000027,2023-01-05,2100,Sales Tax Payable,0.0,53.12,ORD-000007,Sales tax collected
JE-0000028,2023-01-05,4000,Product Sales,0.0,2964.3,ORD-000008,Order revenue
JE-0000029,2023-01-05,5000,Cost of Goods Sold,1400.8,0.0,ORD-000008,Order COGS
JE-0000030,2023-01-05,4100,Shipping Revenue,0.0,93.04,ORD-000008,Shipping charged to customer
JE-0000031,2023-01-06,4000,Product Sales,0.0,75.65,ORD-000009,Order revenue
JE-0000032,2023-01-06,5000,Cost of Goods Sold,38.8,0.0,ORD-000009,Order COGS
JE-0000033,2023-01-06,4100,Shipping Revenue,0.0,13.16,ORD-000009,Shipping charged to customer
JE-0000034,2023-01-06,2100,Sales Tax Payable,0.0,4.54,ORD-000009,Sales tax collected
JE-0000035,2023-01-06,4000,Product Sales,0.0,4777.86,ORD-000010,Order revenue
JE-0000036,2023-01-06,5000,Cost of Goods Sold,2602.12,0.0,ORD-000010,Order COGS
