item_id,order_id,product_id,quantity,unit_price,unit_cost,line_total,is_taxable
ITEM-000001,ORD-000001,PRD-0020,2,286.25,192.35,572.5,1
ITEM-000002,ORD-000002,PRD-0050,4,26.36,10.6,105.44,1
ITEM-000003,ORD-000003,PRD-0011,9,257.74,110.18,2319.66,1
ITEM-000004,ORD-000004,PRD-0055,8,143.03,90.89,1144.24,1
ITEM-000005,ORD-000004,PRD-0032,7,237.14,135.77,1659.98,0
ITEM-000006,ORD-000005,PRD-0011,6,257.74,110.18,1546.44,1
ITEM-000007,ORD-000005,PRD-0073,2,268.28,160.25,536.56,1
ITEM-000008,ORD-000006,PRD-0043,3,199.75,130.34,599.25,1
ITEM-000009,ORD-000006,PRD-0061,4,472.66,192.57,1890.64,1
ITEM-000010,ORD-000007,PRD-0025,1,84.36,58.95,84.36,1
ITEM-000011,ORD-000007,PRD-0064,5,134.91,85.58,674.55,1
ITEM-000012,ORD-000008,PRD-0071,10,296.43,140.08,2964.3,1
ITEM-000013,ORD-000009,PRD-0054,5,15.13,7.76,75.65,1
ITEM-000014,ORD-000010,PRD-0033,6,95.58,62.65,573.48,1
ITEM-000015,ORD-000010,PRD-0031,10,135.64,66.17,1356.4,0
ITEM-000016,ORD-000010,PRD-0059,8,339.39,187.07,2715.12,0
ITEM-000017,ORD-000010,PRD-0068,2,66.43,33.98,132.86,1
ITEM-000018,ORD-000011,PRD-0027,6,58.65,25.04,351.9,1
ITEM-000019,ORD-000012,PRD-0050,8,26.36,10.6,210.88,1
ITEM-000020,ORD-000012,PRD-0036,5,202.23,127.8,1011.15,1
ITEM-000021,ORD-000012,PRD-0045,9,52.93,34.71,476.37,1
ITEM-000022,ORD-000012,PRD-0032,6,237.14,135.77,1422.84,0
ITEM-000023,ORD-000013,PRD-0062,3,81.57,40.39,244.71,1
ITEM-000024,ORD-000013,PRD-0066,6,227.48,102.18,1364.88,1
ITEM-000025,ORD-000014,PRD-0059,10,339.39,187.07,3393.9,0
ITEM-000026,ORD-000015,PRD-0050,8,26.36,10.6,210.88,1
ITEM-000027,ORD-000015,PRD-0073,10,268.28,160.25,2682.8,1
ITEM-000028,ORD-000015,PRD-0065,8,400.0,194.76,3200.0,1
ITEM-000029,ORD-000016,PRD-0013,3,90.56,46.3,271.68,1
ITEM-000030,ORD-000017,PRD-0039,10,221.89,106.65,2218.9,1
ITEM-000031,ORD-000017,PRD-0049,5,181.32,99.28,906.6,1
ITEM-000032,ORD-000018,PRD-0072,5,339.13,128.08,1695.65,1
ITEM-000033,ORD-000019,PRD-0026,4,273.09,111.39,1092.36,1
ITEM-000034,ORD-000020,PRD-0055,10,143.03,90.89,1430.3,1
ITEM-000035,ORD-000021,PRD-0050,6,26.36,10.6,158.16,1
ITEM-000036,ORD-000022,PRD-0001,4,16.36,9.88,65.44,1
ITEM-000037,ORD-000022,PRD-0028,10,254.62,148.63,2546.2,1
ITEM-000038,ORD-000023,PRD-0030,4,232.59,82.94,930.36,1
ITEM-000039,ORD-000024,PRD-0055,7,143.03,90.89,1001.21,1
ITEM-000040,ORD-000024,PRD-0009,1,300.4,108.18,300.4,1
ITEM-000041,ORD-000024,PRD-0029,5,304.75,164.23,1523.75,1
ITEM-000042,ORD-000025,PRD-0035,7,170.14,70.36,1190.98,1
ITEM-000043,ORD-000026,PRD-0046,3,291.65,193.12,874.95,1
ITEM-000044,ORD-000026,PRD-0060,8,63.73,29.25,509.84,1
ITEM-000045,ORD-000026,PRD-0009,7,300.4,108.18,2102.8,1
ITEM-000046,ORD-000026,PRD-0055,9,143.03,90.89,1287.27,1
ITEM-000047,ORD-000027,PRD-0075,5,251.02,119.58,1255.1,1
ITEM-000048,ORD-000028,PRD-0043,5,199.75,130.34,998.75,1
ITEM-000049,ORD-000028,PRD-0002,3,92.63,43.77,277.89,1
ITEM-000050,ORD-000029,PRD-0019,1,224.66,145.09,224.66,1
ITEM-000051,ORD-000030,PRD-0019,7,224.66,145.09,1572.62,1
ITEM-000052,ORD-000031,PRD-0022,7,269.21,94.37,1884.47,1
ITEM-000053,ORD-000031,PRD-0009,3,300.4,108.18,901.2,1
ITEM-000054,ORD-000032,PRD-0011,5,257.74,110.18,1288.7,1
ITEM-000055,ORD-000033,PRD-0035,9,170.14,70.36,1531.26,1
ITEM-000056,ORD-000033,PRD-0032,1,237.14,135.77,237.14,0
ITEM-000057,ORD-000034,PRD-0074,3,281.58,183.0,844.74,1
ITEM-000058,ORD-000035,PRD-0066,2,227.48,102.18,454.96,1
ITEM-000059,ORD-000035,PRD-0037,6,369.76,191.8,2218.56,1
ITEM-000060,ORD-000035,PRD-0010,6,485.42,190.99,2912.52,1
ITEM-000061,ORD-000036,PRD-0071,8,296.43,140.08,2371.44,1
ITEM-000062,ORD-000036,PRD-0045,7,52.93,34.71,370.51,1
ITEM-000063,ORD-000036,PRD-0064,9,134.91,85.58,1214.19,1
ITEM-000064,ORD-000037,PRD-0026,3,273.09,111.39,819.27,1
ITEM-000065,ORD-000037,PRD-0006,9,257.0,129.8,2313.0,1
ITEM-000066,ORD-000037,PRD-0013,2,90.56,46.3,181.12,1
ITEM-000067,ORD-000038,PRD-0049,5,181.32,99.28,906.6,1
ITEM-000068,ORD-000038,PRD-0060,4,63.73,29.25,254.92,1
ITEM-000069,ORD-000038,PRD-0001,4,16.36,9.88,65.44,1
ITEM-000070,ORD-000039,PRD-0061,4,472.66,192.57,1890.64,1
ITEM-000071,ORD-000039,PRD-0072,8,339.13,128.08,2713.04,1
ITEM-000072,ORD-000040,PRD-0052,3,189.21,97.29,567.63,1
ITEM-000073,ORD-000041,PRD-0048,7,249.37,165.35,1745.59,1
ITEM-000074,ORD-000042,PRD-0025,7,84.36,58.95,590.52,1
ITEM-000075,ORD-000042,PRD-0018,9,83.41,46.68,750.69,1
ITEM-000076,ORD-000043,PRD-0054,4,15.13,7.76,60.52,1
ITEM-000077,ORD-000044,PRD-0052,10,189.21,97.29,1892.1,1
ITEM-000078,ORD-000044,PRD-0063,6,455.89,189.31,2735.34,1
ITEM-000079,ORD-000044,PRD-0051,9,274.88,145.41,2473.92,1
ITEM-000080,ORD-000045,PRD-0006,10,257.0,129.8,2570.0,1
ITEM-000081,ORD-000045,PRD-0007,5,141.01,66.36,705.05,1
ITEM-000082,ORD-000046,PRD-0022,4,269.21,94.37,1076.84,1
ITEM-000083,ORD-000047,PRD-0021,5,229.81,118.82,1149.05,1
ITEM-000084,ORD-000048,PRD-0004,8,315.28,125.61,2522.24,1
ITEM-000085,ORD-000048,PRD-0069,10,30.75,13.51,307.5,1
ITEM-000086,ORD-000049,PRD-0065,2,400.0,194.76,800.0,1
ITEM-000087,ORD-000050,PRD-0073,4,268.28,160.25,1073.12,1
ITEM-000088,ORD-000050,PRD-0025,4,84.36,58.95,337.44,1
ITEM-000089,ORD-000050,PRD-0015,10,82.67,30.8,826.7,1
ITEM-000090,ORD-000051,PRD-0061,6,472.66,192.57,2835.96,1
