order_id,customer_id,order_date,due_date,payment_date,status,carrier,shipping_cost,total_weight_lbs,subtotal,taxable_amount,tax_rate,sales_tax,invoice_total,state,payment_terms
ORD-000001,CUST-00362,2023-01-01,2023-01-01,2023-01-03,Paid,UPS,11.58,9.46,572.5,572.5,0.06,34.35,618.43,VT,Due on Receipt
ORD-000002,CUST-00198,2023-01-01,2023-01-01,2023-01-03,Paid,DHL,19.29,18.52,105.44,105.44,0.0475,5.01,129.74,NC,Due on Receipt
ORD-000003,CUST-00298,2023-01-01,2023-01-01,2023-01-19,Paid,DHL,74.98,119.79,2319.66,2319.66,0.0,0.0,2394.64,MT,Due on Receipt
ORD-000004,CUST-00282,2023-01-02,2023-01-02,2023-01-30,Paid,UPS,17.37,23.92,2804.22,1144.24,0.0725,82.96,2904.55,CA,Due on Receipt
ORD-000005,CUST-00220,2023-01-02,2023-01-02,2023-01-07,Paid,UPS,47.29,98.72,2083.0,2083.0,0.04,83.32,2213.61,NY,Due on Receipt
ORD-000006,CUST-00029,2023-01-05,2023-02-04,2023-02-08,Paid,USPS,32.94,92.48,2489.89,2489.89,0.065,161.84,2684.67,WA,Net 30
ORD-000007,CUST-00115,2023-01-05,2023-03-06,2023-02-15,Paid,DHL,44.77,64.85,758.91,758.91,0.07,53.12,856.8,MS,Net 60
ORD-000008,CUST-00244,2023-01-05,2023-01-05,2023-02-02,Paid,UPS,93.04,213.1,2964.3,2964.3,0.0,0.0,3057.34,AK,Due on Receipt
ORD-000009,CUST-00033,2023-01-06,2023-01-06,2023-01-28,Paid,Amazon Logistics,13.16,34.65,75.65,75.65,0.06,4.54,93.35,PA,Due on Receipt
ORD-000010,CUST-00194,2023-01-06,2023-03-07,2023-01-08,Paid,USPS,100.71,318.38,4777.86,706.34,0.06,42.38,4920.95,KY,Net 60
ORD-000011,CUST-00119,2023-01-06,2023-01-06,2023-02-20,Paid,DHL,82.06,132.66,351.9,351.9,0.07,24.63,458.59,RI,Due on Receipt
ORD-000012,CUST-00358,2023-01-07,2023-01-07,,Overdue,UPS,122.28,286.21,3121.24,1698.4,0.065,110.4,3353.92,WA,Due on Receipt
ORD-000013,CUST-00153,2023-01-08,2023-01-08,2023-02-18,Paid,Amazon Logistics,35.59,124.35,1609.59,1609.59,0.04,64.38,1709.56,NY,Due on Receipt
ORD-000014,CUST-00360,2023-01-08,2023-01-08,,Pending,Amazon Logistics,38.65,136.6,3393.9,0.0,0.0,0.0,3432.55,NH,Due on Receipt
ORD-000015,CUST-00495,2023-01-09,2023-01-09,2023-01-11,Paid,Amazon Logistics,49.45,179.82,6093.68,6093.68,0.065,396.09,6539.22,WA,Due on Receipt
ORD-000016,CUST-00133,2023-01-09,2023-01-09,2023-02-18,Paid,USPS,21.65,54.84,271.68,271.68,0.06,16.3,309.63,FL,Due on Receipt
ORD-000017,CUST-00250,2023-01-09,2023-01-09,2023-01-14,Paid,USPS,53.47,160.9,3125.5,3125.5,0.0625,195.34,3374.31,TX,Due on Receipt
ORD-000018,CUST-00361,2023-01-09,2023-01-09,2023-01-19,Paid,DHL,77.69,124.7,1695.65,1695.65,0.04,67.83,1841.17,AL,Due on Receipt
ORD-000019,CUST-00182,2023-01-09,2023-01-09,,Overdue,USPS,22.72,58.4,1092.36,1092.36,0.04,43.69,1158.77,NY,Due on Receipt
ORD-000020,CUST-00149,2023-01-09,2023-01-09,2023-02-09,Paid,UPS,13.32,13.8,1430.3,1430.3,0.0,0.0,1443.62,DE,Due on Receipt
ORD-000021,CUST-00304,2023-01-09,2023-01-09,2023-02-10,Paid,Amazon Logistics,11.45,27.78,158.16,158.16,0.0725,11.47,181.08,CA,Due on Receipt
