shipment_id,order_id,carrier,ship_date,total_weight_lbs,billed_shipping_cost,is_bundled_shipment,tracking_number,zone,delivery_days
SHIP-000001,ORD-000001,UPS,2023-01-01,9.46,11.58,0,6WU19LF2OJ58,1,3
SHIP-000002,ORD-000002,DHL,2023-01-01,18.52,19.29,1,ISJPCJDUCEFU,6,8
SHIP-000003,ORD-000003,DHL,2023-01-01,119.79,74.98,0,HZMZH75NIFKC,3,7
SHIP-000004,ORD-000004,UPS,2023-01-02,23.92,17.37,0,ACMA2H5CSRRQ,3,7
SHIP-000005,ORD-000005,UPS,2023-01-02,98.72,47.29,0,96GHSKZWR22B,4,4
SHIP-000006,ORD-000006,USPS,2023-01-05,92.48,32.94,0,0YC3KDXIX5BG,1,10
SHIP-000007,ORD-000007,DHL,2023-01-05,64.85,44.77,0,DQTBF6BIO00O,8,8
SHIP-000008,ORD-000008,UPS,2023-01-05,213.1,93.04,0,4M8NMKWCJ8DL,5,4
SHIP-000009,ORD-000009,Amazon Logistics,2023-01-06,34.65,13.16,0,0D6FWUNIBW1G,4,4
SHIP-000010,ORD-000010,USPS,2023-01-06,318.38,100.71,0,5HY9LXL0BANA,3,7
SHIP-000011,ORD-000011,DHL,2023-01-06,132.66,82.06,1,PZL90K3RF76P,5,9
SHIP-000012,ORD-000012,UPS,2023-01-07,286.21,122.28,0,0JEZ4UIGKPLR,3,6
SHIP-000013,ORD-000013,Amazon Logistics,2023-01-08,124.35,35.59,0,BI28SHQENGJ9,2,10
SHIP-000014,ORD-000014,Amazon Logistics,2023-01-08,136.6,38.65,0,3V83MCYMU0ZJ,7,5
SHIP-000015,ORD-000015,Amazon Logistics,2023-01-09,179.82,49.45,0,P1F3AJ8G5950,7,8
SHIP-000016,ORD-000016,USPS,2023-01-09,54.84,21.65,0,LRACV1VMB6KQ,1,10
SHIP-000017,ORD-000017,USPS,2023-01-09,160.9,53.47,0,IR18606ZCYXQ,1,8
SHIP-000018,ORD-000018,DHL,2023-01-09,124.7,77.69,0,ZPYDDXARW20N,5,6
SHIP-000019,ORD-000019,USPS,2023-01-09,58.4,22.72,0,4RKGS75511R6,6,2
SHIP-000020,ORD-000020,UPS,2023-01-09,13.8,13.32,0,YP5SSM0DL4YC,7,7
SHIP-000021,ORD-000021,Amazon Logistics,2023-01-09,27.78,11.45,0,UKBI7IJXM5LZ,2,2
SHIP-000022,ORD-000022,USPS,2023-01-10,255.44,81.83,0,VOGE67SNVCE8,7,10
SHIP-000023,ORD-000023,FedEx,2023-01-10,53.8,32.71,0,0L4ZNRKR1SVO,4,2
SHIP-000024,ORD-000024,Amazon Logistics,2023-01-10,69.69,21.92,0,7CFWJHU3G130,7,5
SHIP-000025,ORD-000025,UPS,2023-01-10,131.6,60.44,1,AERO71DO91D3,7,4
SHIP-000026,ORD-000026,USPS,2023-01-11,305.51,96.85,0,YASYINPFGOMQ,6,8
SHIP-000027,ORD-000027,Amazon Logistics,2023-01-11,53.35,17.84,0,O0FVLC254ZH0,8,4
SHIP-000028,ORD-000028,USPS,2023-01-11,99.01,34.9,1,1LSZKZN0LYIM,7,2
SHIP-000029,ORD-000029,UPS,2023-01-11,7.49,10.8,1,S1AI9A44YZLX,7,3
SHIP-000030,ORD-000030,Amazon Logistics,2023-01-11,52.43,17.61,0,UHXXCDXF1Q2B,4,7
SHIP-000031,ORD-000031,FedEx,2023-01-11,238.89,116.0,0,OOZWRSXF8LSM,4,4
SHIP-000032,ORD-000032,Amazon Logistics,2023-01-11,66.55,21.14,0,RBGXK93RHWH0,4,3
SHIP-000033,ORD-000033,USPS,2023-01-12,171.04,56.51,0,0EY8LQDWB32I,6,7
SHIP-000034,ORD-000034,DHL,2023-01-12,34.74,28.21,0,TQCZ1LK4KTCM,4,9
SHIP-000035,ORD-000035,Amazon Logistics,2023-01-12,73.6,22.9,0,GAZLJQRJDOD4,8,7
SHIP-000036,ORD-000036,FedEx,2023-01-12,369.86,174.94,0,E6FE81DULJ7X,1,3
SHIP-000037,ORD-000037,Amazon Logistics,2023-01-13,234.71,63.18,0,UJ2G430LR3OO,4,9
SHIP-000038,ORD-000038,DHL,2023-01-13,184.22,110.42,0,PWA05B64ZVZ0,4,3
SHIP-000039,ORD-000039,Amazon Logistics,2023-01-13,257.2,68.8,0,UX01811NAE2D,8,1
SHIP-000040,ORD-000040,FedEx,2023-01-13,32.1,22.95,0,D1YOZRB7EYB4,4,4
SHIP-000041,ORD-000041,Amazon Logistics,2023-01-13,168.14,46.53,0,T7F1UP4PHFAX,4,5
SHIP-000042,ORD-000042,Amazon Logistics,2023-01-13,149.14,41.78,0,S9NPAXUZMXL2,4,10
SHIP-000043,ORD-000043,FedEx,2023-01-14,27.72,20.97,0,RLOQVCJVV0M9,8,4
SHIP-000044,ORD-000044,DHL,2023-01-14,360.62,207.44,0,BM8PE4L9EVG4,7,3
SHIP-000045,ORD-000045,DHL,2023-01-14,221.25,130.79,0,916YUSL42N3V,8,1
SHIP-000046,ORD-000046,Amazon Logistics,2023-01-16,99.6,29.4,1,CUC6BHSLO7ZW,8,5
SHIP-000047,ORD-000047,USPS,2023-01-17,116.85,40.26,0,OU3WBVDDT8NC,4,3
SHIP-000048,ORD-000048,FedEx,2023-01-17,292.44,140.1,1,8MEXWXZMCD6X,4,6
SHIP-000049,ORD-000049,Amazon Logistics,2023-01-18,12.12,7.53,0,4AKXK3LQW3BY,3,4
SHIP-000050,ORD-000050,DHL,2023-01-18,258.12,151.07,0,ZY9OP9NF0UL9,2,4
SHIP-000051,ORD-000051,UPS,2023-01-18,233.61,101.24,0,3AHW9TTKYXAD,4,7
SHIP-000052,ORD-000052,UPS,2023-01-19,216.6,94.44,0,YUHWYQANNS5Q,6,5
SHIP-000053,ORD-000053,FedEx,2023-01-20,149.64,75.84,0,TEI5CQOM3OQC,3,9
SHIP-000054,ORD-000054,DHL,2023-01-20,63.42,43.98,0,EBI7T9P2JMW6,4,1
SHIP-000055,ORD-000056,DHL,2023-01-22,46.72,34.8,0,APTD5G1Q7NM5,2,4
SHIP-000056,ORD-000057,Amazon Logistics,2023-01-22,2.55,5.14,0,K4RJNYLIMGPK,5,9
SHIP-000057,ORD-000058,FedEx,2023-01-23,220.03,107.51,0,9LZX8UBES81D,2,6
SHIP-000058,ORD-000059,Amazon Logistics,2023-01-24,33.96,12.99,0,RII5CQKP9XCO,1,10
SHIP-000059,ORD-000060,UPS,2023-01-24,316.29,134.32,0,SHCUJLC1L8B7,5,6
SHIP-000060,ORD-000061,FedEx,2023-01-24,58.0,34.6,0,Y41UIW5E1QML,6,8
SHIP-000061,ORD-000062,DHL,2023-01-25,243.49,143.02,0,7WOTAX28906Q,7,2
SHIP-000062,ORD-000063,UPS,2023-01-25,26.64,18.46,0,0OF7SWUQ0R0G,4,8
SHIP-000063,ORD-000064,Amazon Logistics,2023-01-26,12.79,7.7,1,YM9Q11ZOD9GE,3,3
SHIP-000064,ORD-000065,Amazon Logistics,2023-01-27,54.01,18.0,0,8D287ZF1A79O,6,4
SHIP-000065,ORD-000066,DHL,2023-01-28,272.36,158.9,0,J06MMK4WL656,2,5
SHIP-000066,ORD-000067,FedEx,2023-01-28,36.56,24.95,0,BIOB6FFRLKWL,8,10
SHIP-000067,ORD-000068,USPS,2023-01-29,3.7,6.31,0,TNPP2VPFH22C,7,3
SHIP-000068,ORD-000069,USPS,2023-01-30,37.04,16.31,0,OTN8HPBY37GA,3,6
SHIP-000069,ORD-000071,DHL,2023-01-30,128.56,79.81,0,GVXKQ5HHOI4K,1,2
SHIP-000070,ORD-000072,FedEx,2023-01-31,147.18,74.73,0,08F1IH6LB3K5,8,5
SHIP-000071,ORD-000073,USPS,2023-02-02,136.44,46.13,0,WP9JXI9B7C8D,7,4
